CustomerID,first_purchase,last_purchase,lifetime_days,churned,segment,recency,frequency,monetary,rfm_score
12346,2009-12-14 08:34:00,2010-03-02 13:08:00,79,0,Champions,27,10,230.55,10
12358,2009-12-08 07:59:00,2009-12-08 07:59:00,1,1,Lost,111,1,1429.83,7
12359,2009-12-05 13:32:00,2010-03-23 08:55:00,108,0,Champions,6,4,1522.23,15
12360,2010-02-22 09:32:00,2010-03-24 10:39:00,31,0,Loyal,5,2,158.0,9
12361,2010-01-26 14:37:00,2010-01-26 14:37:00,1,0,Loyal,62,1,109.19999999999999,4
12362,2009-12-01 10:10:00,2009-12-01 10:10:00,1,1,Lost,118,1,130.0,3
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,0,Loyal,13,1,500.24,8
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,0,Loyal,7,1,917.6999999999999,10
12369,2010-03-08 08:09:00,2010-03-08 08:09:00,1,0,Loyal,21,1,348.32,8
12370,2010-02-09 09:41:00,2010-03-25 12:10:00,45,0,Loyal,4,3,774.62,13
12371,2010-03-04 18:23:00,2010-03-04 18:25:00,1,0,Loyal,24,2,607.6800000000001,11
12373,2010-02-04 12:08:00,2010-03-25 13:49:00,50,0,Loyal,4,2,763.0500000000001,12
12380,2010-02-15 12:05:00,2010-03-03 12:53:00,17,0,Champions,26,3,3217.3,12
12389,2010-02-22 10:15:00,2010-02-22 10:15:00,1,0,Loyal,35,1,164.85,5
12391,2010-02-15 10:12:00,2010-02-22 10:13:00,8,0,Loyal,35,2,750.49,10
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,0,Loyal,54,1,931.43,7
12399,2010-03-05 08:45:00,2010-03-05 08:45:00,1,0,Loyal,24,1,205.98,7
12402,2010-02-07 12:41:00,2010-02-07 12:41:00,1,0,Loyal,50,1,191.7,4
12404,2010-01-26 16:25:00,2010-01-26 16:25:00,1,0,Loyal,61,1,63.24,4
12406,2010-01-11 14:04:00,2010-01-11 14:04:00,1,0,Lost,77,1,881.2,6
12416,2010-02-21 10:19:00,2010-02-21 10:19:00,1,0,Loyal,36,1,202.56,6
12417,2009-12-06 10:30:00,2010-03-05 11:56:00,90,0,Champions,24,4,1200.69,14
12418,2010-03-19 14:47:00,2010-03-19 14:47:00,1,0,Loyal,10,1,343.94,9
12422,2009-12-18 12:44:00,2010-02-14 11:15:00,58,0,Loyal,43,2,737.25,10
12426,2010-02-15 08:41:00,2010-02-15 08:41:00,1,0,Loyal,42,1,762.48,8
