CustomerID,recency,frequency,monetary,monetary_log,frequency_log,r_score,f_score,m_score,rfm_score,cluster,segment,bayesian_churn_prob
12346,27,10,230.55,5.444795832926761,2.3978952727983707,3,5,2,10,3,Champions,0.5
12358,111,1,1429.83,7.266009974456078,0.6931471805599453,1,1,5,7,0,Lost,0.5
12359,6,4,1522.23,7.328588359221301,1.6094379124341003,5,5,5,15,3,Champions,0.5
12360,5,2,158.0,5.0689042022202315,1.0986122886681096,5,3,1,9,2,Loyal,0.5
12361,62,1,109.19999999999999,4.702296896718814,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12362,118,1,130.0,4.875197323201151,0.6931471805599453,1,1,1,3,0,Lost,0.5
12366,13,1,500.24,6.217085028297085,0.6931471805599453,4,1,3,8,2,Loyal,0.5
12368,7,1,917.6999999999999,6.822959627277421,0.6931471805599453,5,1,4,10,1,Loyal,0.5
12369,21,1,348.32,5.855988407545532,0.6931471805599453,4,1,3,8,2,Loyal,0.5
12370,4,3,774.62,6.653662709523911,1.3862943611198906,5,4,4,13,1,Loyal,0.5
12371,24,2,607.6800000000001,6.411292678051914,1.0986122886681096,4,3,4,11,1,Loyal,0.5
12373,4,2,763.0500000000001,6.638633232051267,1.0986122886681096,5,3,4,12,1,Loyal,0.5
12380,26,3,3217.3,8.076608548813057,1.3862943611198906,3,4,5,12,3,Champions,0.5
12389,35,1,164.85,5.111083765393062,0.6931471805599453,3,1,1,5,2,Loyal,0.5
12391,35,2,750.49,6.622057902384601,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12396,54,1,931.43,6.837794081676172,0.6931471805599453,2,1,4,7,1,Loyal,0.5
12399,24,1,205.98,5.332622170240027,0.6931471805599453,4,1,2,7,2,Loyal,0.5
12402,50,1,191.7,5.2611345754203205,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12404,61,1,63.24,4.162626069638506,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12406,77,1,881.2,6.7824187876708395,0.6931471805599453,1,1,4,6,0,Lost,0.5
12416,36,1,202.56,5.315960801720632,0.6931471805599453,3,1,2,6,2,Loyal,0.5
12417,24,4,1200.69,7.091484178338151,1.6094379124341003,4,5,5,14,3,Champions,0.5
12418,10,1,343.94,5.843370488863255,0.6931471805599453,5,1,3,9,2,Loyal,0.5
12422,43,2,737.25,6.604282520624032,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12426,42,1,762.48,6.6378869291616915,0.6931471805599453,3,1,4,8,2,Loyal,0.5
12431,25,3,1514.8600000000001,7.323738213652991,1.3862943611198906,4,4,5,13,1,Loyal,0.5
12435,17,2,1736.88,7.460421258562459,1.0986122886681096,4,3,5,12,1,Loyal,0.5
12437,4,6,3799.32,8.242840552695286,1.9459101490553132,5,5,5,15,3,Champions,0.5
12439,62,2,1142.88,7.042181271332972,1.0986122886681096,2,3,5,10,1,Loyal,0.5
12440,97,1,568.51,6.344776341995586,0.6931471805599453,1,1,3,5,0,Lost,0.625
12443,111,1,485.31,6.186846280636522,0.6931471805599453,1,1,3,5,0,Lost,0.5
12455,6,2,2414.34,7.789595342926631,1.0986122886681096,5,3,5,13,1,Loyal,0.5
12466,61,1,56.73,4.055776969072842,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12468,62,1,441.23,6.091830108727296,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12470,69,1,211.95,5.3610573963692225,0.6931471805599453,2,1,2,5,0,Lost,0.5
12471,3,19,6496.56,8.779182000793902,2.995732273553991,5,5,5,15,3,Champions,0.5
12472,7,5,3029.43,8.016459802625967,1.791759469228055,5,5,5,15,3,Champions,0.5
12474,46,1,158.7,5.073297055220967,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12477,3,1,2021.23,7.611956141875117,0.6931471805599453,5,1,5,11,1,Loyal,0.5
12482,33,5,6437.76,8.770091253975075,1.791759469228055,3,5,5,13,3,Champions,0.5
12483,13,4,842.5,6.737559901986023,1.6094379124341003,4,5,4,13,1,Loyal,0.5
12484,29,3,705.15,6.559827679515073,1.3862943611198906,3,4,4,11,1,Loyal,0.5
12487,110,1,285.29999999999995,5.657040212104069,0.6931471805599453,1,1,2,4,0,Lost,0.5
12490,20,6,2112.0099999999998,7.655868750212525,1.9459101490553132,4,5,5,14,3,Champions,0.5
12495,20,1,357.4,5.881649681100775,0.6931471805599453,4,1,3,8,2,Loyal,0.5
12497,24,1,1211.76,7.100654032813861,0.6931471805599453,4,1,5,10,1,Loyal,0.5
12500,12,5,869.49,6.769056271491484,1.791759469228055,4,5,4,13,3,Champions,0.5
12510,3,6,3414.23,8.13600011966378,1.9459101490553132,5,5,5,15,3,Champions,0.5
12514,21,1,580.08,6.364888441004683,0.6931471805599453,4,1,4,9,2,Loyal,0.5
12523,17,4,847.04,6.742927804490763,1.6094379124341003,4,5,4,13,1,Loyal,0.5
12524,5,3,2282.58,7.733499665950508,1.3862943611198906,5,4,5,14,3,Champions,0.5
12525,27,1,566.4300000000001,6.341117393729944,0.6931471805599453,3,1,3,7,2,Loyal,0.5
12530,22,1,357.0,5.8805329864007,0.6931471805599453,4,1,3,8,2,Loyal,0.5
12531,66,1,1807.98,7.500518429502228,0.6931471805599453,2,1,5,8,1,Loyal,0.5
12533,7,2,1367.89,7.221755471439273,1.0986122886681096,5,3,5,13,1,Loyal,0.5
12539,96,2,5149.06,8.546763644075352,1.0986122886681096,1,3,5,9,1,Loyal,0.5
12540,4,6,2496.62,7.823093557416486,1.9459101490553132,5,5,5,15,3,Champions,0.25
12542,19,1,364.79,5.902059398240283,0.6931471805599453,4,1,3,8,2,Loyal,0.5
12549,61,4,1159.3700000000001,7.0564941987589656,1.6094379124341003,2,5,5,12,1,Loyal,0.5
12555,61,1,129.23,4.869302117979612,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12557,102,1,1952.64,7.577449578167305,0.6931471805599453,1,1,5,7,0,Lost,0.5
12567,46,1,522.28,6.260116693652957,0.6931471805599453,2,1,3,6,2,Loyal,0.5
12568,24,1,70.0,4.2626798770413155,0.6931471805599453,4,1,1,6,2,Loyal,0.5
12570,61,1,77.52,4.3633533694082605,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12577,115,1,210.55,5.354461377166077,0.6931471805599453,1,1,2,4,0,Lost,0.5
12583,32,2,1409.49,7.25169244073241,1.0986122886681096,3,3,5,11,1,Loyal,0.5
12586,103,1,422.35,6.048199260088286,0.6931471805599453,1,1,3,5,0,Lost,0.5
12589,69,1,715.5,6.574378247268227,0.6931471805599453,2,1,4,7,0,Lost,0.5
12594,26,1,154.14,5.044327935062725,0.6931471805599453,3,1,1,5,2,Loyal,0.5
12598,25,2,649.71,6.478064074448011,1.0986122886681096,4,3,4,11,1,Loyal,0.4
12600,39,5,1133.07,7.0335682107776405,1.791759469228055,3,5,5,13,3,Champions,0.375
12606,61,1,21.0,3.091042453358316,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12609,99,1,330.6,5.80392942326114,0.6931471805599453,1,1,2,4,0,Lost,0.5
12613,105,1,1333.1100000000001,7.196019681846646,0.6931471805599453,1,1,5,7,0,Lost,0.5
12615,11,1,1155.48,7.053136187963809,0.6931471805599453,5,1,5,11,1,Loyal,0.5
12621,11,2,1322.52,7.1880501329999005,1.0986122886681096,5,3,5,13,1,Loyal,0.5
12623,27,2,1923.82,7.562587735856374,1.0986122886681096,3,3,5,11,1,Loyal,0.5
12631,73,1,738.1800000000001,6.605541463684391,0.6931471805599453,2,1,4,7,0,Lost,0.5
12636,118,1,141.0,4.955827057601261,0.6931471805599453,1,1,1,3,0,Lost,0.5
12638,19,1,249.8,5.524655808758766,0.6931471805599453,4,1,2,7,2,Loyal,0.5
12639,7,1,253.57999999999998,5.539615128442288,0.6931471805599453,5,1,2,8,2,Loyal,0.5
12644,50,2,868.13,6.767492711315046,1.0986122886681096,2,3,4,9,1,Loyal,0.5
12645,26,2,846.74,6.742573985005771,1.0986122886681096,3,3,4,10,1,Loyal,0.5
12647,10,8,3841.46,8.253868065469172,2.1972245773362196,5,5,5,15,3,Champions,0.5
12648,20,2,311.8,5.745564008671156,1.0986122886681096,4,3,2,9,2,Loyal,0.5
12649,73,2,385.5,5.957131868027477,1.0986122886681096,2,3,3,8,0,Lost,0.5
12663,4,2,239.4,5.4823042026610525,1.0986122886681096,5,3,2,10,2,Loyal,0.5
12664,106,1,549.08,6.310063722194484,0.6931471805599453,1,1,3,5,0,Lost,0.5
12665,49,1,168.8,5.134621273877247,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12668,20,3,3867.58,8.260642793625754,1.3862943611198906,4,4,5,13,3,Champions,0.5
12670,46,1,225.60000000000002,5.423186348593906,0.6931471805599453,2,1,2,5,2,Loyal,0.5
12677,46,1,190.7,5.255931650051599,0.6931471805599453,2,1,1,4,2,Loyal,0.5
12678,80,2,2310.3,7.745565415782643,1.0986122886681096,1,3,5,9,1,Loyal,0.5
12681,5,7,4231.35,8.350512673332023,2.0794415416798357,5,5,5,15,3,Champions,0.5
12682,20,8,4294.37,8.365292977390132,2.1972245773362196,4,5,5,14,3,Champions,0.5
12683,48,3,1557.66,7.351581756754737,1.3862943611198906,2,4,5,11,1,Loyal,0.5
12692,17,1,110.95,4.718052343044764,0.6931471805599453,4,1,1,6,2,Loyal,0.5
12695,45,1,493.66,6.203870657879451,0.6931471805599453,3,1,3,7,2,Loyal,0.5
12701,13,1,547.3199999999999,6.306859058126299,0.6931471805599453,4,1,3,8,2,Loyal,0.5
12703,13,3,722.98,6.584763767694766,1.3862943611198906,4,4,4,12,1,Loyal,0.5
